,Player1,Player2,Round,Result,FNL.1,FNL.2,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPC.1,BPW.1,NPA.1,NPW.1,TPW.1,ST1.1,ST2.1,ST3.1,ST4.1,ST5.1,FSP.2,FSW.2,SSP.2,SSW.2,ACE.2,DBF.2,WNR.2,UFE.2,BPC.2,BPW.2,NPA.2,NPW.2,TPW.2,ST1.2,ST2.2,ST3.2,ST4.2,ST5.2
0,Lukas Lacko,Novak Djokovic,1,0,0.0,3.0,61,35,39,18,5.0,1.0,17.0,29.0,1.0,3.0,8.0,11.0,70.0,3.0,6.0,1.0,,,68,45,32,17,10.0,0.0,40.0,30.0,4.0,8.0,8.0,9.0,101.0,6.0,7.0,6.0,,
1,Leonardo Mayer,Albert Montanes,1,1,3.0,0.0,61,31,39,13,13.0,1.0,13.0,1.0,7.0,14.0,,,80.0,6.0,6.0,6.0,,,60,23,40,9,1.0,4.0,1.0,4.0,0.0,0.0,,,42.0,1.0,3.0,1.0,,
2,Marcos Baghdatis,Denis Istomin,1,0,0.0,3.0,52,53,48,20,8.0,4.0,37.0,50.0,1.0,9.0,16.0,23.0,106.0,4.0,5.0,4.0,,,77,57,23,15,9.0,1.0,41.0,41.0,4.0,13.0,12.0,16.0,126.0,6.0,7.0,6.0,,
3,Dmitry Tursunov,Michael Russell,1,1,3.0,0.0,53,39,47,24,8.0,6.0,8.0,6.0,6.0,9.0,,,104.0,6.0,6.0,6.0,,,50,24,50,19,1.0,8.0,1.0,8.0,1.0,7.0,,,79.0,2.0,2.0,3.0,,
4,Juan Monaco,Ernests Gulbis,1,0,1.0,3.0,76,63,24,12,0.0,4.0,16.0,35.0,3.0,12.0,9.0,13.0,128.0,6.0,4.0,6.0,2.0,,53,59,47,32,17.0,11.0,59.0,79.0,3.0,5.0,16.0,28.0,127.0,1.0,6.0,7.0,6.0,
5,Santiago Giraldo,Sam Querrey,1,0,1.0,3.0,65,51,35,22,9.0,3.0,35.0,41.0,2.0,7.0,6.0,12.0,108.0,3.0,2.0,6.0,6.0,,63,60,37,22,24.0,4.0,47.0,45.0,4.0,7.0,14.0,17.0,122.0,6.0,6.0,3.0,7.0,
6,Dudi Sela,Jarkko Nieminen,1,0,2.0,3.0,68,73,32,24,5.0,3.0,41.0,50.0,9.0,17.0,14.0,30.0,173.0,6.0,6.0,7.0,3.0,3.0,60,66,40,34,2.0,6.0,57.0,72.0,10.0,17.0,25.0,36.0,173.0,3.0,7.0,6.0,6.0,6.0
7,Fabio Fognini,Alex Bogomolov Jr.,1,1,2.0,0.0,47,18,53,15,3.0,4.0,21.0,31.0,6.0,20.0,6.0,9.0,78.0,6.0,6.0,,,,54,26,46,13,0.0,11.0,11.0,46.0,2.0,6.0,8.0,12.0,61.0,3.0,2.0,,,
8,David Guez,Richard Gasquet,1,0,0.0,3.0,64,26,36,12,3.0,,20.0,39.0,3.0,7.0,5.0,14.0,67.0,5.0,4.0,1.0,,,67,42,33,14,12.0,,32.0,20.0,7.0,10.0,8.0,11.0,94.0,7.0,6.0,6.0,,
9,Nikolay Davydenko,Lukasz Kubot,1,1,3.0,2.0,77,76,23,11,6.0,4.0,6.0,4.0,7.0,24.0,,,162.0,3.0,6.0,3.0,6.0,6.0,60,68,40,25,8.0,12.0,8.0,12.0,6.0,14.0,,,141.0,6.0,3.0,6.0,3.0,4.0
10,Pablo Carreno Busta,Julien Benneteau,1,0,2.0,3.0,53,46,47,35,7.0,7.0,47.0,58.0,4.0,5.0,19.0,33.0,126.0,3.0,6.0,6.0,1.0,2.0,66,62,34,24,16.0,4.0,49.0,46.0,7.0,19.0,30.0,43.0,152.0,6.0,3.0,4.0,6.0,6.0
11,Tommy Robredo,Lukas Rosol,1,1,3.0,2.0,57,62,43,43,13.0,0.0,50.0,38.0,6.0,18.0,15.0,19.0,177.0,6.0,6.0,3.0,7.0,8.0,51,72,49,41,11.0,12.0,82.0,96.0,3.0,7.0,28.0,44.0,152.0,1.0,7.0,6.0,6.0,6.0
