,index,Result,FNL,FSP,FSW,SSP,SSW,ACE,DBF,WNR,UFE,BPC,BPW,NPA,NPW,TPW,ST1,ST2,ST3,ST4,ST5
0,0,0,0.0,61,35,39,18,5.0,1.0,17.0,29.0,1.0,3.0,8.0,11.0,70.0,3.0,6.0,1.0,,
1,1,1,3.0,61,31,39,13,13.0,1.0,13.0,1.0,7.0,14.0,,,80.0,6.0,6.0,6.0,,
2,2,0,0.0,52,53,48,20,8.0,4.0,37.0,50.0,1.0,9.0,16.0,23.0,106.0,4.0,5.0,4.0,,
3,3,1,3.0,53,39,47,24,8.0,6.0,8.0,6.0,6.0,9.0,,,104.0,6.0,6.0,6.0,,
4,4,0,1.0,76,63,24,12,0.0,4.0,16.0,35.0,3.0,12.0,9.0,13.0,128.0,6.0,4.0,6.0,2.0,
5,5,0,1.0,65,51,35,22,9.0,3.0,35.0,41.0,2.0,7.0,6.0,12.0,108.0,3.0,2.0,6.0,6.0,
6,6,0,2.0,68,73,32,24,5.0,3.0,41.0,50.0,9.0,17.0,14.0,30.0,173.0,6.0,6.0,7.0,3.0,3.0
7,7,1,2.0,47,18,53,15,3.0,4.0,21.0,31.0,6.0,20.0,6.0,9.0,78.0,6.0,6.0,,,
8,8,0,0.0,64,26,36,12,3.0,,20.0,39.0,3.0,7.0,5.0,14.0,67.0,5.0,4.0,1.0,,
9,9,1,3.0,77,76,23,11,6.0,4.0,6.0,4.0,7.0,24.0,,,162.0,3.0,6.0,3.0,6.0,6.0
10,10,0,2.0,53,46,47,35,7.0,7.0,47.0,58.0,4.0,5.0,19.0,33.0,126.0,3.0,6.0,6.0,1.0,2.0
11,11,1,3.0,57,62,43,43,13.0,0.0,50.0,38.0,6.0,18.0,15.0,19.0,177.0,6.0,6.0,3.0,7.0,8.0
12,12,0,0.0,65,40,35,17,16.0,4.0,35.0,25.0,0.0,2.0,20.0,43.0,74.0,4.0,3.0,4.0,,
13,13,0,2.0,64,63,36,23,7.0,4.0,49.0,57.0,6.0,15.0,24.0,46.0,137.0,3.0,5.0,6.0,6.0,3.0
14,14,1,3.0,60,50,40,23,4.0,2.0,4.0,2.0,10.0,28.0,,,151.0,6.0,6.0,6.0,6.0,
15,15,1,2.0,63,20,37,6,4.0,1.0,23.0,11.0,4.0,9.0,13.0,14.0,54.0,6.0,4.0,,,
16,16,0,0.0,68,34,32,7,2.0,4.0,22.0,41.0,5.0,7.0,11.0,21.0,75.0,3.0,4.0,4.0,,
17,17,0,2.0,53,50,47,28,21.0,12.0,21.0,12.0,4.0,6.0,,,129.0,6.0,3.0,0.0,7.0,4.0
18,18,0,0.0,50,39,50,26,10.0,3.0,28.0,38.0,1.0,3.0,17.0,31.0,91.0,5.0,5.0,2.0,,
19,19,1,3.0,66,46,34,16,9.0,2.0,31.0,27.0,4.0,9.0,12.0,13.0,94.0,6.0,6.0,6.0,,
20,20,0,2.0,60,58,40,21,13.0,8.0,40.0,36.0,3.0,10.0,18.0,28.0,140.0,6.0,6.0,4.0,2.0,1.0
21,21,0,0.0,61,32,39,10,2.0,3.0,2.0,3.0,3.0,7.0,,,77.0,4.0,2.0,4.0,,
22,22,1,3.0,58,36,42,22,6.0,1.0,25.0,23.0,5.0,11.0,11.0,14.0,101.0,6.0,6.0,6.0,,
23,23,1,3.0,69,39,31,17,5.0,2.0,11.0,30.0,7.0,9.0,5.0,8.0,95.0,6.0,6.0,6.0,,
24,24,1,2.0,58,27,42,11,7.0,3.0,19.0,9.0,4.0,4.0,3.0,5.0,65.0,7.0,5.0,,,
25,25,0,1.0,57,49,43,32,9.0,4.0,9.0,4.0,4.0,13.0,,,150.0,4.0,6.0,7.0,2.0,
26,26,1,3.0,55,60,45,31,20.0,3.0,20.0,3.0,5.0,12.0,,,148.0,5.0,6.0,6.0,7.0,
27,27,1,3.0,63,76,37,28,21.0,9.0,21.0,9.0,3.0,14.0,,,154.0,2.0,6.0,6.0,6.0,6.0
28,28,0,0.0,66,55,34,18,25.0,1.0,48.0,27.0,1.0,3.0,24.0,50.0,93.0,6.0,3.0,6.0,,
29,29,0,0.0,73,31,27,6,2.0,6.0,2.0,6.0,1.0,2.0,,,55.0,4.0,2.0,1.0,,
30,30,0,0.0,60,46,40,29,3.0,5.0,33.0,36.0,2.0,13.0,23.0,35.0,125.0,5.0,5.0,6.0,,
31,31,1,3.0,66,39,34,19,9.0,0.0,35.0,17.0,4.0,14.0,13.0,23.0,97.0,6.0,6.0,6.0,,
32,32,0,0.0,52,36,48,19,13.0,3.0,34.0,38.0,0.0,1.0,19.0,34.0,74.0,4.0,4.0,2.0,,
33,33,0,2.0,51,37,49,29,5.0,11.0,51.0,54.0,4.0,11.0,22.0,32.0,104.0,7.0,6.0,1.0,0.0,
34,34,1,3.0,58,49,42,24,5.0,4.0,5.0,4.0,9.0,17.0,,,133.0,6.0,6.0,6.0,6.0,
35,35,1,3.0,61,59,39,24,20.0,6.0,44.0,40.0,5.0,14.0,7.0,11.0,125.0,5.0,6.0,6.0,6.0,
36,36,0,2.0,63,109,37,36,41.0,4.0,111.0,81.0,2.0,25.0,29.0,44.0,231.0,7.0,4.0,6.0,3.0,1.0
37,37,1,3.0,58,57,42,30,22.0,4.0,63.0,53.0,5.0,8.0,21.0,31.0,145.0,4.0,4.0,6.0,6.0,6.0
38,38,1,2.0,53,39,47,24,8.0,6.0,33.0,37.0,4.0,7.0,18.0,22.0,98.0,4.0,6.0,7.0,,
39,39,1,3.0,62,37,38,23,15.0,1.0,36.0,25.0,5.0,13.0,12.0,15.0,104.0,7.0,6.0,6.0,,
40,40,1,2.0,54,25,46,21,9.0,2.0,27.0,10.0,2.0,5.0,1.0,3.0,71.0,6.0,7.0,,,
41,41,1,3.0,68,57,32,13,6.0,8.0,6.0,8.0,4.0,9.0,,,108.0,6.0,6.0,7.0,,
42,42,1,3.0,69,48,31,17,15.0,0.0,15.0,0.0,5.0,8.0,,,104.0,6.0,7.0,7.0,,
43,43,1,3.0,46,25,54,21,4.0,2.0,22.0,22.0,9.0,17.0,11.0,12.0,104.0,7.0,6.0,6.0,,
44,44,0,0.0,52,34,48,28,6.0,1.0,6.0,1.0,2.0,7.0,,,89.0,4.0,4.0,6.0,,
45,45,1,3.0,63,39,37,19,9.0,6.0,9.0,6.0,5.0,12.0,,,95.0,6.0,7.0,6.0,,
46,46,1,3.0,57,63,43,34,18.0,9.0,54.0,68.0,11.0,26.0,8.0,11.0,173.0,7.0,4.0,6.0,6.0,6.0
47,47,1,3.0,69,33,31,11,12.0,2.0,32.0,13.0,7.0,13.0,4.0,5.0,84.0,6.0,6.0,6.0,,
48,48,0,1.0,57,52,43,25,29.0,1.0,55.0,39.0,1.0,2.0,12.0,18.0,107.0,7.0,3.0,4.0,4.0,
49,49,1,3.0,82,37,18,7,1.0,1.0,1.0,1.0,8.0,18.0,,,95.0,6.0,6.0,6.0,,
50,50,1,3.0,54,60,46,25,34.0,13.0,71.0,52.0,6.0,8.0,5.0,8.0,133.0,6.0,6.0,6.0,7.0,
51,51,1,3.0,57,54,43,22,24.0,6.0,58.0,25.0,3.0,12.0,22.0,35.0,117.0,7.0,6.0,6.0,,
52,52,0,1.0,58,54,42,28,10.0,9.0,10.0,9.0,0.0,0.0,,,105.0,7.0,4.0,4.0,3.0,
